SeqNumber,temperature,iterSteps,A1,B1,E1,A2,B2,E2,Error
5,1600.0,149,2.002229778117935e+41,0.8719868498620827,4931280949.159602,3.25270204128829e+21,5.459569148769512,224844.4011921904,0.16179975138235617
6,1700.0,149,19345.83039426847,6.408507854472364,103114.44410352489,2.7780867969754272e+31,3.409269352237904,252366.226621264,6.004257164598578e-05
7,1800.0,149,45765.887236853174,2.1190168575292154,2272.3850532188635,1053825917106.2705,4.33257407910747,134099.01582763813,0.001257410910859818

0,1100.0,149,1.439516187137291e+45,2.3572842033932906,216639.99542241727,9.28533138123796e+28,0.371870636151013,1507863279.4863102,0.00010341662786070702
1,1200.0,149,88.13843611176013,4.761856308891198,30812.656982583063,1.4269987426706e+46,8.064886660811961,688382722.9704962,0.017130812699514705
2,1300.0,149,700578182359.417,0.21238099649859749,3904.379524624764,3.4835661700487384e+39,1.8604427501557053,217867.055924767,0.00022703596269153198
3,1400.0,149,8732226.763762753,3.1725192398804833,4778.472069061731,5.878330120166682e+20,9.966113508925567,247298.56065770358,1.1218178985252617e-05
4,1500.0,149,4.399702966748022e+40,8.619497968652738,967679010.9638238,1339243651530.634,0.016913208336560782,28956.418957153408,0.20249394984978294
5,1600.0,149,2.5188790336102654e+50,0.8453117374163983,303400.2161881905,6162211090.685418,0.0013468139712863054,186.74845563202248,4.59775815260697e-05
6,1700.0,149,1.278606918393778e+25,7.3099429951957635,284503.3802099306,28143188364.145515,0.008117998730871483,30.978135680898916,4.518059774659741e-05

