Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Axial Velocity C1 Inlet1 PFR (C1)_(cm/sec),Pressure C1 PFR PFR (C1)_(atm),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Plug flow residence time end point_(sec),Mole fraction NO end point,Mole fraction NH3 end point,Mole fraction CO end point,Mole fraction CH4 end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0.000306,0.000207,0.150279,9.45E-05,50,0.5,875,0.00024,0.8945629,0.00021669,1.48E-13,1.20E-05,3.58E-15,3.43E-09,2.45E-06,1.29E-05
0.000306,0.000207,0.150279,9.45E-05,50,0.5,900,0.00024,0.8946986,0.000242291,2.62E-13,9.31E-06,7.72E-17,2.90E-09,2.37E-06,1.15E-05
0.000306,0.000207,0.150279,9.45E-05,50,0.5,925,0.00024,0.8948291,0.000264018,7.20E-14,7.21E-06,9.52E-19,2.49E-09,2.26E-06,9.63E-06
0.000306,0.000207,0.150279,9.45E-05,50,0.5,950,0.00024,0.8949557,0.000282381,5.22E-14,5.55E-06,1.05E-20,2.18E-09,2.13E-06,7.40E-06
0.000306,0.000207,0.150279,9.45E-05,50,0.5,975,0.00024,0.8950777,0.000297906,3.51E-14,4.27E-06,1.04E-19,1.97E-09,1.98E-06,5.13E-06
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1000,0.00024,0.8951949,0.000311052,9.28E-15,3.30E-06,-1.29E-18,1.83E-09,1.80E-06,3.12E-06
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1025,0.00024,0.895308,0.000322191,1.14E-14,2.59E-06,1.35E-20,1.77E-09,1.61E-06,1.61E-06
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1050,0.00024,0.8954186,0.000331617,4.18E-15,2.09E-06,-3.41E-20,1.81E-09,1.41E-06,6.71E-07
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1075,0.00024,0.8955259,0.000339533,1.99E-15,1.76E-06,1.51E-19,1.99E-09,1.24E-06,2.22E-07
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1100,0.00024,0.8956306,0.000346183,5.95E-16,1.61E-06,2.14E-19,2.37E-09,1.10E-06,6.53E-08
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1125,0.00024,0.8957331,0.000351783,-3.33E-15,1.67E-06,1.43E-19,3.02E-09,9.85E-07,2.84E-08
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1150,0.00024,0.8958342,0.000356543,2.46E-13,1.98E-06,6.99E-21,4.03E-09,8.97E-07,2.32E-08
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1175,0.00024,0.8959338,0.000360661,1.80E-16,2.57E-06,3.75E-19,5.50E-09,8.24E-07,2.37E-08
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1200,0.00024,0.8960329,0.000364321,8.97E-17,3.51E-06,-8.78E-19,7.56E-09,7.61E-07,2.53E-08
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1225,0.00024,0.8961321,0.000367658,3.79E-17,4.91E-06,5.78E-20,1.04E-08,7.07E-07,2.76E-08
0.000306,0.000207,0.150279,9.45E-05,50,0.5,1250,0.00024,0.8962322,0.000370779,-5.63E-13,6.92E-06,1.72E-21,1.43E-08,6.59E-07,3.01E-08
0.000102,6.90E-05,0.150093,3.15E-05,50,1,550,0.00036,0.9,0.000199996,0.00036,6.90E-05,3.15E-05,0.000102,0,0
0.000102,6.90E-05,0.150093,3.15E-05,50,1,575,0.00036,0.9,0.000199995,0.000359999,6.90E-05,3.15E-05,0.000102,0,0
0.000102,6.90E-05,0.150093,3.15E-05,50,1,600,0.00036,0.9,0.000199992,0.000359997,6.90E-05,3.15E-05,0.000101999,0,0
0.000102,6.90E-05,0.150093,3.15E-05,50,1,625,0.00036,0.8999999,0.000199983,0.000359992,6.90E-05,3.15E-05,0.000101998,0,0
0.000102,6.90E-05,0.150093,3.15E-05,50,1,650,0.00036,0.8999998,0.000199959,0.000359977,6.90E-05,3.15E-05,0.000101994,1.76E-08,0
0.000102,6.90E-05,0.150093,3.15E-05,50,1,675,0.00036,0.8999995,0.000199888,0.000359931,6.90E-05,3.15E-05,0.000101983,4.30E-08,0
