Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for N2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction CO2 end point,Mole fraction NO end point,Mole fraction CO end point,Mole fraction CH4 end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0.000576,0.788653,1075,0.150027,9.00E-07,0.000243,5.67E-17,0.1506525,0.000344242,1.80E-06,-3.23E-19,1.16E-09,1.83E-06,1.83E-07
0,0.7895,1100,0.15,0,0,-1.14E-15,0.1499877,0.000140823,1.00E-06,0,7.90E-10,6.66E-07,8.44E-08
6.90E-05,0.789204,1100,0.150093,3.15E-05,0.000102,2.31E-14,0.1501938,0.000228063,1.25E-06,2.06E-21,1.14E-09,1.07E-06,9.00E-08
0.000207,0.788614,1100,0.150279,9.45E-05,0.000306,1.47E-14,0.1506068,0.000342529,9.31E-07,8.31E-19,1.58E-09,1.49E-06,6.57E-08
0,0.7895,1100,0.15,0,0,-1.14E-15,0.1499877,0.000140823,1.00E-06,0,7.90E-10,6.66E-07,8.44E-08
0.000192,0.789218,1100,0.150009,3.00E-07,8.10E-05,-1.14E-15,0.1502088,0.000234736,1.56E-06,1.12E-19,1.07E-09,1.12E-06,7.90E-08
0.000576,0.788653,1100,0.150027,9.00E-07,0.000243,3.11E-17,0.1506529,0.000355363,1.37E-06,-2.84E-21,1.31E-09,1.59E-06,5.25E-08
0,0.7895,1125,0.15,0,0,2.51E-17,0.1499876,0.000166305,1.07E-06,0,1.00E-09,6.78E-07,3.52E-08
6.90E-05,0.789204,1125,0.150093,3.15E-05,0.000102,1.21E-14,0.1501939,0.000249851,1.17E-06,-1.88E-20,1.41E-09,1.01E-06,3.51E-08
0.000207,0.788614,1125,0.150279,9.45E-05,0.000306,5.56E-15,0.1506067,0.00035514,9.38E-07,-8.24E-19,2.08E-09,1.36E-06,3.00E-08
0,0.7895,1125,0.15,0,0,2.51E-17,0.1499876,0.000166305,1.07E-06,0,1.00E-09,6.78E-07,3.52E-08
0.000192,0.789218,1125,0.150009,3.00E-07,8.10E-05,6.18E-18,0.150209,0.000254549,1.38E-06,9.23E-22,1.28E-09,1.04E-06,3.48E-08
